gene_id,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X76_C,X81_C,K_C,N_C,S_C,DS1_X
SESN3,143686,sestrin 3,1864.5857087338727,4.200444539671686,0.3065096936186269,13.704116467187715,9.592788966097812e-43,1.2238480162947588e-38,3602,3319,133,246,202,3877
ARTN,9048,artemin,428.5171099249901,8.52736859465056,0.6756876468444066,12.620281922386829,1.6323585641896514e-36,1.0412815280965786e-32,729,808,3,2,2,1074
TCL1B,9623,TCL1 family AKT coactivator B,1167.5604837936621,7.419376700070058,0.6391197382810598,11.6087428625265,3.7204514783942057e-31,1.582183998711776e-27,3461,2731,18,9,14,878
ITPRIPL2,162073,ITPRIP like 2,685.9066249483385,10.431532615122304,0.9406465320416662,11.089747593584109,1.4068415387803987e-28,4.487121087940082e-25,1085,1443,3,0,0,1659
CMBL,134147,carboxymethylenebutenolidase homolog,376.31822091976204,8.826883779385403,0.8886355865702285,9.933074831555622,2.9889361247340773e-23,7.626569415871472e-20,444,1026,3,0,2,823
SYNM,23336,synemin,467.54282230358706,12.321980040960574,1.2784507260134144,9.63821271343334,5.513962011541944e-22,1.004958962046459e-18,1246,745,0,0,0,862
STOM,2040,stomatin,1192.7787996992204,2.2675638167454486,0.2514028763853063,9.019641498731797,1.8870582084292638e-19,2.4075088623140547e-16,2264,1950,466,334,440,1813
GJB2,2706,gap junction protein beta 2,469.81031188398674,12.328952637829596,1.3655740898241164,9.028402581523455,1.7419593556715377e-19,2.4075088623140547e-16,1490,865,0,0,0,508
MYEF2,50804,myelin expression factor 2,387.6905320808634,-6.738665346822966,0.7773995828873214,-8.668213226710321,4.389541235895311e-18,5.091069735232034e-15,4,5,301,965,1054,13
ELOVL6,79071,ELOVL fatty acid elongase 6,1280.0729065814614,-3.844851008074709,0.45255369455757144,-8.495900164583869,1.9640476268800836e-17,2.0881099686446757e-14,171,113,1901,1749,3586,225
TIFAB,497189,TIFA inhibitor,240.66939980539746,11.363948887985353,1.3453701431386318,8.446708101812225,2.9963165411117734e-17,2.940538956269539e-14,468,336,0,0,0,667
CD86,942,CD86 molecule,435.75252135923176,10.362054383218956,1.236000529835061,8.383535551236154,5.1361154712268556e-17,4.680468655850873e-14,1205,1031,0,0,2,417
DHRS3,9249,dehydrogenase/reductase 3,743.949779280541,9.549168960880264,1.142981313709846,8.354615116047636,6.564640174509985e-17,5.5834452897598925e-14,924,922,6,0,0,2702
TLR2,7097,toll like receptor 2,324.69470781004446,11.795975728251328,1.429242523333638,8.253305884530914,1.5407203672735587e-16,1.2285319028547538e-13,313,558,0,0,0,1116
THSD7A,221981,thrombospondin type 1 domain containing 7A,449.4550687396905,11.302739465753664,1.385700024056422,8.156700057395284,3.4430200049870995e-16,2.583885248448554e-13,359,1185,0,0,1,1202
LRP3,4037,LDL receptor related protein 3,300.27208059342854,11.683160920228921,1.4407940801493009,8.108834621959486,5.11075493887546e-16,3.622389528342951e-13,574,266,0,0,0,997
STXBP5,134957,syntaxin binding protein 5,249.3261319451119,-11.429490804267704,1.4118313160920675,-8.095507355584378,5.702616747972577e-16,3.637699223531707e-13,0,0,801,287,420,0
ISM1,140862,isthmin 1,315.76748369994783,-11.770305933674683,1.4536462651107966,-8.09709089217627,5.628901636175191e-16,3.637699223531707e-13,0,0,612,1038,256,0
FAM20C,56975,FAM20C golgi associated secretory pathway kinase,240.32723496530798,11.36188145290772,1.4205186484809615,7.998403586646049,1.2604265810449416e-15,7.657391581414935e-13,252,748,0,0,0,467
CNN3,1266,calponin 3,396.55197752831276,10.22517321951948,1.2906909324159634,7.922247660312929,2.332551269932638e-15,1.3311654636191872e-12,253,1175,1,1,0,993
SLC22A16,85413,solute carrier family 22 member 16,193.4994852051428,6.17270236132396,0.7795082646868563,7.918713169518036,2.3998123266375062e-15,1.3311654636191872e-12,561,308,4,2,10,295
ZMIZ1,57178,zinc finger MIZ-type containing 1,13863.079775114365,1.446354236583892,0.18352995339472228,7.880753031485728,3.254139284229377e-15,1.7298462078415997e-12,22849,19101,8643,6731,7120,19951
RBM47,54502,RNA binding motif protein 47,474.3075221334922,11.380399423178742,1.4625185630591606,7.781370924533278,7.174280494196406e-15,3.66117882179831e-12,1926,559,1,0,0,403
PTGFRN,5738,prostaglandin F2 receptor inhibitor,313.90085281335706,10.784643699035895,1.3932674865780494,7.740540709468246,9.899489876549566e-15,4.857603532500745e-12,272,854,1,0,0,791
MRC1,4360,mannose receptor C-type 1,450.63968037019157,12.268842546042737,1.5908894430816363,7.711939129017882,1.2392023842527539e-14,5.855460747517272e-12,2041,389,0,0,0,314
AFAP1L1,134265,actin filament associated protein 1 like 1,455.728225336499,12.285043114074153,1.596212363329835,7.6963713577850665,1.3998459387472868e-14,6.378298030906388e-12,2024,242,0,0,0,511
DHCR24,1718,24-dehydrocholesterol reductase,4301.246883105255,-29.2138091725996,3.906774937972197,-7.477730259978314,7.561720256968987e-14,3.3266354151175975e-11,0,0,9963,0,16079,0
FERMT1,55612,FERM domain containing kindlin 1,300.48689413664647,9.240101774456921,1.2417628186239589,7.441116480437225,9.983786392098127e-14,4.245771559679597e-11,228,660,0,0,3,947
ZXDA,7789,zinc finger X-linked duplicated A,179.95053054123014,8.081787187990203,1.0872670386423195,7.433120752084976,1.0606499184777303e-13,4.36508763223835e-11,219,276,3,1,0,602
CDKN2A,1029,cyclin dependent kinase inhibitor 2A,2807.2226922160835,-28.62613343174618,3.9067803925493076,-7.327295254767737,2.3484405909917667e-13,9.3629390812103e-11,0,0,4775,0,12221,0
ADPRH,141,ADP-ribosylarginine hydrolase,142.38197147482424,10.606666368084518,1.4720032181277978,7.2055999861025155,5.778882059919962e-13,2.2341508278926936e-10,181,229,0,0,0,461
