"","gene_symbol","2021_02_12_DS1_Cell","2021_02_12_DS1_Pt","2021_02_12_DS76_Cell","2021_02_12_DS81_Cell","2024_07_02_DS76_Pt","2024_07_02_DS81_Pt"
"1","TP53TG3C",0,1,0,0,0,0
"2","MKKS",1217,1421,1001,970,903,1030
"3","NPIPA5",11059,12519,3191,4809,7262,13821
"4","ANKRD45",27,37,1,0,20,3
"5","ARL17A",711,557,249,772,895,928
"6","BOLA2",852,925,854,845,633,1714
"7","CEP63",1576,2167,1341,1261,896,517
"8","CKMT1B",0,1,0,0,0,0
"9","CRHR1",0,0,0,0,0,0
"10","CT47A11",0,0,0,0,0,0
"11","DEFB105A",0,0,0,0,0,0
"12","DEFB4A",0,0,0,0,0,0
"13","DGCR6",181,59,15,43,201,312
"14","FAM156A",8338,6623,713,730,2412,5295
"15","GOLGA6L22",0,0,0,0,0,0
"16","GOLGA6L4",325,207,54,48,56,32
"17","HERC3",2538,2389,887,650,1399,105
"18","HLA-DQA1",0,4,1963,2983,1523,1499
"19","KYAT1",1628,1152,477,397,1034,1398
"20","LGALS7",0,0,0,0,0,11
"21","MAFIP",134,125,0,121,0,177
"22","MATR3",22077,25262,21098,19995,9994,4152
"23","MIEF1",3604,2978,3344,3919,1918,1255
"24","MPV17L",93,60,17,23,65,101
"25","MRPL23",1846,2586,1936,1533,1457,2796
"26","PDE4C",24,2,2,4,71,61
"27","PDE8B",537,383,17,27,749,60
"28","PINX1",511,627,817,1228,537,1378
"29","PRH1",55,23,17,1,57,32
"30","PRODH",3,8,9,1,13,25
"31","PRORP",1635,1967,832,522,2417,532
"32","PSEN2",151,31,59,42,39,24
"33","RASA4",1669,1868,831,946,1713,2675
"34","SCHIP1",758,695,864,180,2237,216
"35","SERF1A",41,0,0,0,218,98
"36","SLC35D2",40,28,23,12,118,145
"37","SLX1B",4520,3813,2941,2124,5318,4282
"38","SMN1",182,211,107,227,280,112
"39","SPDYE10",0,1,6,0,0,2
"40","SRSF1",22099,19673,18360,20086,12939,7923
