"","id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DS1_Cell","DS1_Pt","DS76_Cell","DS81_Cell","DS76_Pt","DS81_Pt"
"1","AHRR",3272.16649582274,7.07804503869845,0.492811959933413,14.362567498676,8.88726887611424e-47,9.51382133188029e-43,5906,62,8410,5007,48,40
"2","FOSB",2531.47015773907,-6.61862341381201,0.573652862575327,-11.5376804433585,8.51915596547555e-31,4.55987823052079e-27,57,9181,63,36,2122,5159
"3","FILIP1L",451.065905892272,5.56413731275071,0.69798515765859,7.97171293930627,1.56489966934602e-15,5.5840836534497e-12,443,12,1078,961,22,21
"4","KLF4",597.537671868402,-5.09075656364885,0.7215110267084,-7.05568782070228,1.71749022328311e-12,4.59643321006143e-09,17,2350,56,24,509,1021
"5","RPL3P4",2714.02369812377,-8.38758991148688,1.22774199902223,-6.83172027850049,8.39023313573961e-12,1.79634891436185e-08,17,21,20,12,3934,10838
"6","SPTB",781.799487188938,-4.94516867020687,0.731594190287303,-6.75944223704792,1.38523972272583e-11,2.47149853863001e-08,98,4010,27,40,854,482
"7","CD82",2859.05165817376,-3.40749711176725,0.510558068952292,-6.67406377252977,2.48815410042376e-11,3.80509852071948e-08,740,3940,350,475,4397,7125
"8","EMP3",591.615532952421,-4.56562339893221,0.699941045674007,-6.52286850035456,6.8975332631068e-11,9.22976169769479e-08,75,445,46,33,834,1957
"9","GRIK5",1934.15645317241,-4.13207459450873,0.658651429871113,-6.27353772740965,3.52935357219648e-10,4.19796999892926e-07,312,1635,195,158,2432,6425
"10","JUN",7591.43997488811,-4.34699787686426,0.713754570498204,-6.09032580180892,1.1268113408103e-09,1.20625154033743e-06,1503,38566,584,348,5029,7572
"11","ATP1A1",3885.37962542732,-5.71225533828709,0.945729104438796,-6.0400545055413,1.54062176506724e-09,1.49930509045862e-06,203,428,101,152,6558,13974
"12","H2BC8",173.005678597038,-3.83727174405742,0.645956528905019,-5.94044888835182,2.84242671840363e-09,2.53568150170924e-06,20,217,20,27,377,354
"13","SCD",1086.3404625706,4.13683817208619,0.720668459235728,5.74027920754757,9.45205818896725e-09,7.22744877949246e-06,725,78,2728,2214,117,148
"14","FOS",5462.24901221543,-4.42787003485041,0.771084381892771,-5.7423936197247,9.33475225122233e-09,7.22744877949246e-06,152,6115,853,336,12109,12125
